PaymentID,InvoiceID,PaymentDate,Amount,Currency,PaymentMethod
123,144,2025-07-31,103307.42,JPY,Card
124,145,2026-01-03,55973.86,GBP,Wire
125,147,2025-06-18,110581.57,JPY,Wire
126,148,2025-09-07,139866.70,AUD,Card
127,149,2025-08-28,16111.23,USD,Wire
128,150,2025-11-30,34888.94,AUD,Check
129,151,2025-09-08,30646.31,USD,SEPA
130,152,2025-05-24,100986.53,GBP,ACH
131,153,2025-03-31,45789.51,JPY,ACH
132,154,2025-12-03,152601.06,AUD,Wire
133,155,2025-07-02,34004.99,CAD,ACH
134,157,2025-07-12,45268.77,JPY,Card
135,158,2025-09-15,64884.19,EUR,Card
136,159,2025-02-15,47507.65,USD,Card
137,160,2025-12-12,4140.95,USD,Check
138,161,2026-01-15,498.08,GBP,Check
139,162,2025-05-21,49991.01,JPY,Check
140,164,2026-01-02,44232.14,CAD,SEPA
141,166,2025-11-02,16813.76,USD,ACH
142,167,2025-12-05,39147.34,EUR,ACH
143,170,2025-08-10,68102.31,JPY,Check
144,171,2025-12-14,0.00,USD,Wire
145,172,2025-04-26,32329.40,AUD,ACH
146,173,2025-08-26,88047.93,AUD,SEPA
147,174,2025-01-24,98186.67,USD,SEPA
148,175,2025-01-18,16118.27,JPY,Wire
149,176,2025-10-03,22196.15,CAD,Check
150,177,2025-08-18,22263.42,JPY,Check
151,178,2026-01-17,14084.02,AUD,SEPA
152,179,2025-08-13,164994.66,USD,Wire
153,180,2025-09-14,31792.86,USD,Check
154,181,2025-12-24,26030.19,USD,ACH
155,182,2025-11-05,27312.72,GBP,SEPA
156,183,2026-02-08,122592.88,GBP,Check
157,184,2025-08-20,39195.99,JPY,ACH
158,185,2025-03-11,36088.93,USD,Wire
159,186,2025-03-15,66845.44,CAD,Check
160,187,2025-12-07,25691.96,JPY,ACH
161,188,2025-08-07,18715.98,AUD,ACH
162,189,2025-07-04,126073.18,USD,Card
163,190,2025-12-15,78675.16,GBP,SEPA
164,191,2025-06-23,23608.35,USD,Card
165,192,2025-10-02,77868.45,USD,
166,193,2025-02-23,47517.58,JPY,SEPA
167,194,2025-03-16,29775.50,EUR,Wire
168,195,2025-04-14,41122.96,EUR,Check
169,196,2025-09-10,66146.07,GBP,ACH
170,198,2025-08-06,125670.67,GBP,SEPA
171,199,2026-01-05,68901.44,GBP,Check
172,201,2025-07-07,87308.97,JPY,SEPA
173,202,2025-05-24,57159.44,AUD,
174,203,2026-01-27,88426.40,AUD,Check
175,204,2025-09-02,62870.49,GBP,SEPA
176,206,2025-10-10,67757.70,JPY,Card
177,207,2026-01-19,25478.27,AUD,Card
178,208,2026-01-09,5110.61,CAD,Card
179,209,2025-12-23,57315.57,GBP,Check
180,210,2025-06-26,79525.22,CAD,ACH
181,211,2025-09-18,72649.20,CAD,Wire
182,212,2025-10-17,78187.97,USD,Check
183,213,2025-04-23,56017.19,EUR,Check
184,215,2025-02-07,25923.61,GBP,Check
185,216,2025-06-03,79050.21,GBP,Wire
186,217,2025-09-04,51537.91,AUD,ACH
187,218,2025-11-30,30181.10,JPY,ACH
188,220,2025-04-21,42401.80,USD,
189,221,2025-10-23,42432.65,JPY,Card
190,222,2025-07-13,54496.69,AUD,SEPA
191,223,2025-03-07,12872.39,EUR,
192,224,2026-01-27,3374.48,CAD,SEPA
193,226,2025-07-01,0.00,JPY,Card
194,227,2025-01-26,21368.62,JPY,Check
195,230,2025-11-14,28912.51,CAD,Check
196,231,2025-10-15,24605.95,USD,ACH
197,233,2025-09-09,4094.15,USD,Check
198,235,2025-12-24,111297.88,EUR,ACH
199,236,2025-07-10,21900.37,EUR,SEPA
200,237,2025-11-27,20968.69,AUD,Card
201,238,2025-07-31,73267.05,AUD,Wire
202,239,2025-05-14,70721.55,EUR,Wire
203,240,2025-12-22,19328.76,JPY,Card
204,241,2025-04-03,15234.97,AUD,Card
205,242,2025-06-28,35369.65,AUD,SEPA
206,243,2025-11-26,22771.73,USD,Card
207,244,2025-05-22,247341.73,GBP,ACH
208,245,2025-11-14,585.91,AUD,Wire
209,246,2025-02-02,41239.48,EUR,SEPA
210,247,2025-08-11,15704.77,EUR,SEPA
211,248,2025-06-30,83063.79,USD,Wire
212,249,2025-04-18,56097.32,AUD,ACH
213,251,2026-12-20,7958.23,USD,SEPA
214,252,2025-03-19,14554.14,USD,Card
215,253,2025-06-09,46165.59,EUR,ACH
216,255,2025-08-07,134528.89,EUR,Card
217,256,2025-03-16,44230.84,JPY,Card
218,257,2025-07-03,25090.38,CAD,Check
219,258,2025-02-14,2864.55,GBP,Card
220,259,2025-05-17,79143.44,USD,SEPA
221,260,2025-05-30,26655.59,CAD,Card
222,261,2025-04-15,32245.86,JPY,ACH
223,262,2025-10-07,14498.20,USD,Wire
224,263,2025-03-07,41990.47,JPY,ACH
225,264,2025-09-15,112061.68,AUD,ACH
226,265,2025-02-25,24663.89,EUR,Wire
227,266,2026-01-12,69181.51,AUD,Check
228,268,2025-02-03,72767.37,AUD,Card
229,270,2025-06-27,62555.49,USD,ACH
230,271,2025-10-07,20430.26,CAD,SEPA
231,274,2026-11-06,67830.30,JPY,Check
232,275,2025-04-30,161653.32,CAD,ACH
233,276,2025-08-12,208437.06,USD,Wire
234,277,2025-02-23,1147.50,USD,Card
235,278,2025-06-15,49769.02,USD,Wire
236,279,2025-07-08,30133.42,CAD,Wire
237,280,2025-09-25,46851.50,AUD,Card
238,281,2025-01-15,45685.91,CAD,SEPA
239,282,2027-04-12,33460.87,JPY,Check
240,285,2025-03-03,607.69,AUD,ACH
241,287,2025-08-21,2167.53,GBP,Wire
242,288,2025-04-30,61662.29,USD,Wire
243,289,2025-09-03,31712.94,GBP,Check
244,290,2025-06-23,131072.51,AUD,Card
245,291,2025-12-19,63088.60,GBP,Card
246,292,2025-07-08,27451.30,GBP,ACH
247,295,2025-08-02,69278.71,USD,Card
248,296,2025-01-17,68526.73,AUD,Check
249,297,2025-06-27,30182.88,USD,Check
250,298,2025-08-09,3457.94,JPY,Wire
251,299,2025-05-19,43972.03,EUR,SEPA
252,301,2025-07-17,27111.44,CAD,Wire
253,302,2025-11-08,68178.25,AUD,Check
254,303,2025-10-04,14222.04,GBP,
255,304,2025-07-10,31345.50,GBP,Wire
256,305,2025-10-06,298.52,EUR,
257,306,2025-05-20,8814.40,AUD,Wire
258,307,2025-06-06,73736.28,JPY,Check
259,308,2025-04-21,11289.70,AUD,SEPA
260,309,2026-01-28,7085.49,CAD,Wire
261,311,2025-02-11,98448.33,JPY,ACH
262,312,2025-04-16,29028.36,EUR,
263,313,2025-12-05,93709.79,USD,SEPA
264,314,2026-01-02,62742.68,GBP,Wire
265,315,2025-09-14,21361.08,AUD,Check
266,317,2025-04-23,1931.81,GBP,Card
267,318,2026-01-01,65076.99,CAD,Check
268,320,2025-05-25,14505.02,AUD,ACH
269,321,2025-12-19,10126.07,USD,SEPA
270,322,2025-03-12,38453.50,AUD,
271,323,2025-08-22,16684.79,JPY,Wire
272,325,2025-01-21,6420.46,USD,SEPA
273,327,2025-10-08,9489.96,AUD,Card
274,328,2025-04-07,59267.80,EUR,
275,329,2025-11-13,141547.68,EUR,Wire
276,331,2026-01-01,82664.95,USD,Card
277,332,2025-06-06,49086.66,USD,Check
278,333,2025-09-09,55718.48,AUD,
279,334,2025-08-14,11463.48,GBP,Wire
280,335,2025-06-04,53476.11,AUD,SEPA
281,336,2025-10-31,37997.21,EUR,SEPA
282,338,2025-08-09,14650.12,CAD,
283,339,2025-09-18,24833.41,EUR,Card
284,342,2025-10-27,47303.85,JPY,ACH
285,343,2025-11-27,74205.35,JPY,Wire
286,344,2025-11-30,181585.83,USD,ACH
287,345,2025-10-10,27590.66,GBP,ACH
288,346,2025-11-14,31367.09,JPY,SEPA
289,347,2025-12-31,54322.86,GBP,Check
290,348,2025-06-23,37332.00,GBP,ACH
291,350,2025-09-18,0.00,AUD,SEPA
292,351,2025-04-22,58503.17,JPY,Wire
293,352,2025-07-12,60974.87,EUR,Card
294,355,2025-04-26,70978.61,CAD,ACH
295,357,2025-09-10,29598.27,EUR,Check
296,358,2025-03-17,34793.06,EUR,SEPA
297,359,2025-05-11,23222.68,JPY,Wire
298,360,2025-02-11,70030.25,EUR,Card
299,362,2025-07-13,67444.71,GBP,
300,363,2025-09-22,43345.12,GBP,SEPA
301,364,2025-09-19,63982.88,AUD,Check
302,365,2026-01-01,84045.62,GBP,SEPA
303,366,2025-05-21,58651.07,CAD,
304,367,2025-04-12,9410.91,GBP,Wire
305,368,2025-08-18,125834.14,CAD,Card
306,372,2025-07-08,53913.79,JPY,Check
307,374,2025-10-03,76896.14,CAD,Card
308,375,2025-05-01,20805.98,JPY,SEPA
309,378,2025-03-31,82408.04,JPY,ACH
310,379,2025-01-21,4978.98,CAD,SEPA
311,380,2025-01-16,13623.51,CAD,SEPA
312,382,2025-10-05,18406.29,USD,ACH
313,383,2025-10-30,99633.61,AUD,SEPA
314,384,2025-10-09,24105.33,JPY,Check
315,385,2025-03-25,64328.05,CAD,ACH
316,387,2025-02-18,19322.33,USD,Wire
317,388,2025-08-10,44851.00,GBP,
318,389,2027-01-20,30842.72,AUD,Check
319,390,2025-11-22,53476.38,USD,Card
320,391,2025-04-08,45268.35,GBP,Wire
321,393,2025-01-16,4588.10,CAD,Wire
322,394,2025-09-27,42677.82,GBP,Wire
323,395,2025-06-14,50358.70,EUR,Card
324,396,2025-11-25,23509.71,USD,SEPA
325,397,2026-01-12,14861.54,JPY,SEPA
326,398,2025-07-27,24919.92,JPY,SEPA
327,399,2025-08-27,83247.93,JPY,Card
328,400,2025-03-06,48656.79,USD,
329,401,2025-11-07,79196.80,JPY,Check
330,402,2026-01-03,98987.72,EUR,Check
331,403,2025-08-04,13212.03,AUD,Check
332,404,2025-12-19,38254.94,AUD,ACH
333,406,2025-09-30,19651.49,JPY,Wire
334,408,2025-04-16,67540.42,EUR,ACH
335,409,2025-05-15,62510.57,EUR,Card
336,410,2025-11-25,43571.02,JPY,Wire
337,412,2025-01-18,33377.45,CAD,
338,413,2025-05-09,185735.11,GBP,Wire
339,415,2025-09-29,116732.31,EUR,Card
340,416,2025-12-07,58800.54,CAD,Wire
341,419,2025-04-28,74832.50,JPY,Wire
342,420,2026-01-10,12290.88,JPY,Check
343,421,2025-10-24,82726.52,CAD,Card
344,424,2026-01-21,61121.08,GBP,Check
345,425,2025-04-04,58299.55,AUD,Check
346,426,2025-06-21,86514.58,AUD,Wire
347,427,2025-07-13,62391.43,EUR,ACH
348,429,2025-12-19,48938.04,CAD,Wire
349,430,2025-02-05,102121.21,EUR,Check
350,431,2025-06-17,21814.63,GBP,Wire
351,433,2025-02-27,59933.94,CAD,ACH
352,434,2025-07-24,63490.42,AUD,Card
353,435,2025-07-21,29139.30,AUD,Wire
354,436,2025-05-21,7156.47,JPY,
355,437,2026-01-02,23390.92,CAD,SEPA
356,438,2025-05-21,16976.83,AUD,Check
357,439,2025-10-27,72487.74,GBP,SEPA
358,440,2025-01-29,79568.06,JPY,SEPA
359,441,2025-07-02,49308.14,AUD,Wire
360,442,2025-10-28,37047.83,GBP,Card
361,443,2025-09-26,41205.84,JPY,Check
362,444,2025-04-19,29363.92,GBP,SEPA
363,445,2025-09-14,150036.43,AUD,ACH
364,446,2025-09-22,2879.30,CAD,Card
365,447,2025-06-30,62651.07,USD,Card
366,450,2025-04-04,19612.95,CAD,
367,451,2025-12-31,2385.52,AUD,Check
368,452,2025-10-06,104802.60,AUD,Check
369,453,2025-03-01,46777.82,JPY,SEPA
370,454,2025-03-04,0.00,USD,Card
371,455,2025-09-01,183358.37,GBP,Card
372,456,2025-01-24,6007.93,AUD,Check
373,457,2025-02-06,11662.84,CAD,SEPA
374,458,2025-06-14,64826.08,JPY,Card
375,460,2025-10-30,30080.53,GBP,SEPA
376,462,2025-02-24,5199.28,AUD,ACH
377,463,2025-12-15,16230.76,EUR,Wire
378,464,2025-03-25,2630.66,CAD,Card
379,465,2025-11-17,40331.47,GBP,Check
380,467,2025-03-22,34593.44,JPY,Wire
381,469,2025-07-14,38290.91,AUD,ACH
382,470,2025-04-05,7098.66,JPY,Wire
383,471,2025-07-21,729.50,AUD,
384,472,2025-04-22,64426.80,AUD,Card
385,473,2025-01-30,44150.55,CAD,Wire
386,474,2025-03-01,3305.44,CAD,Card
387,475,2025-07-14,50670.50,CAD,Wire
388,476,2025-10-03,95083.54,USD,SEPA
389,477,2025-12-20,44273.71,EUR,SEPA
390,478,2025-11-30,36418.46,AUD,Check
391,479,2025-09-21,15442.91,EUR,Wire
392,481,2026-02-09,28229.58,GBP,Check
393,482,2025-05-13,8640.61,CAD,Wire
394,483,2025-05-28,87997.56,GBP,Wire
395,484,2025-02-06,37429.30,EUR,Wire
396,485,2025-11-04,72303.38,EUR,Card
397,486,2025-03-10,78955.88,GBP,Check
398,487,2025-09-21,7104.71,JPY,Wire
399,488,2025-11-13,45716.23,CAD,Card
400,490,2025-02-01,3042.12,AUD,ACH
401,491,2025-12-08,87874.08,EUR,Wire
402,492,2025-04-25,65888.89,EUR,Wire
403,493,2025-07-06,42271.05,USD,SEPA
404,494,2025-01-28,13580.99,CAD,Card
405,495,2025-03-13,102017.09,CAD,Wire
406,496,2025-10-17,87058.27,AUD,SEPA
407,497,2025-01-28,45626.59,AUD,ACH
408,498,2025-03-09,40134.47,JPY,ACH
409,499,2026-01-20,12733.94,GBP,
410,501,2025-02-17,3436.54,USD,Wire
411,502,2025-06-16,12652.59,JPY,Wire
412,503,2025-08-08,58335.80,AUD,SEPA
413,504,2025-11-21,11573.77,GBP,ACH
414,506,2025-03-13,21712.23,AUD,Check
415,507,2025-08-25,86824.25,CAD,ACH
416,508,2025-02-03,46310.38,USD,Check
417,509,2025-09-16,35695.81,GBP,SEPA
418,510,2025-08-11,50306.91,AUD,ACH
419,511,2025-02-10,161636.05,AUD,SEPA
420,513,2025-10-01,15760.14,AUD,Card
421,514,2025-02-12,189.80,GBP,Card
422,515,2025-08-20,109174.06,AUD,Check
423,516,2025-05-27,0.00,CAD,SEPA
424,517,2025-06-19,1412.97,JPY,SEPA
425,518,2025-04-26,13671.48,USD,SEPA
426,519,2025-11-01,15152.22,CAD,Card
427,520,2025-08-16,77284.52,GBP,Wire
428,521,2025-11-02,14692.42,GBP,Check
429,524,2025-07-29,19916.32,JPY,Wire
430,525,2025-11-06,19732.29,AUD,Card
431,526,2025-06-10,7645.09,EUR,Card
432,527,2025-12-28,62356.72,USD,Check
433,529,2025-11-18,18525.18,CAD,Card
434,530,2025-10-18,75579.06,CAD,Check
435,531,2025-08-10,5674.67,CAD,SEPA
436,532,2025-04-24,96879.32,CAD,
437,533,2025-02-20,3079.72,USD,ACH
438,534,2025-06-22,34943.11,GBP,Check
439,535,2025-05-20,94867.58,AUD,Card
440,537,2025-06-08,21804.01,JPY,ACH
441,538,2027-02-08,30809.76,JPY,Wire
442,539,2025-10-11,60724.90,JPY,Card
443,541,2025-09-16,11161.24,AUD,Check
444,542,2025-11-08,507.06,GBP,Check
445,543,2026-01-13,0.00,CAD,Wire
446,544,2025-07-04,49137.92,AUD,
447,545,2025-11-22,27023.23,EUR,Wire
448,546,2025-07-28,86478.25,JPY,ACH
449,547,2025-05-04,9610.29,AUD,Wire
450,550,2025-03-11,106511.67,JPY,Check
451,551,2025-10-07,8108.14,GBP,Card
452,552,2025-08-18,32105.66,GBP,ACH
453,553,2025-10-07,0.00,AUD,Check
454,554,2025-09-02,59530.64,GBP,Card
455,557,2025-06-14,1202.60,GBP,ACH
456,560,2025-08-09,20535.17,JPY,Wire
457,561,2026-01-02,41985.32,GBP,Check
458,563,2025-11-04,66094.65,USD,Card
459,564,2025-12-21,77076.93,AUD,SEPA
460,565,2025-04-19,40971.00,EUR,Card
461,566,2025-07-24,63280.07,EUR,ACH
462,567,2025-08-05,42416.94,GBP,SEPA
463,568,2025-07-27,146707.02,EUR,Check
464,569,2025-03-12,26030.08,GBP,Card
465,570,2025-05-13,21555.23,EUR,Check
466,571,2025-02-22,20876.04,JPY,
467,572,2025-06-30,13994.28,AUD,Wire
468,573,2025-06-16,30528.31,AUD,ACH
469,575,2025-02-16,19616.43,AUD,Card
470,577,2025-12-28,105930.09,EUR,SEPA
471,578,2025-06-16,1429.23,GBP,Check
472,579,2026-01-21,131911.04,GBP,ACH
473,580,2025-10-25,4439.59,EUR,SEPA
474,581,2025-10-01,103094.11,CAD,Check
475,582,2025-09-13,90178.59,GBP,SEPA
476,583,2025-10-22,39364.82,USD,Check
477,584,2025-07-28,93217.25,CAD,SEPA
478,586,2025-03-09,61193.89,USD,ACH
479,588,2025-12-17,42940.20,GBP,ACH
480,589,2025-02-10,4275.95,JPY,Check
481,590,2025-03-02,69406.66,JPY,Card
482,591,2025-11-27,92700.02,USD,Card
483,592,2025-10-17,5731.20,CAD,Card
484,593,2026-01-01,22012.22,EUR,Wire
485,594,2025-12-07,51717.72,AUD,ACH
486,595,2025-04-26,150695.72,AUD,Check
487,596,2025-08-25,121588.52,CAD,Card
488,597,2025-12-29,26354.02,CAD,Check
489,598,2025-07-17,27185.11,GBP,SEPA
490,599,2025-02-04,71391.22,USD,Card
491,600,2025-03-28,2578.48,GBP,Check
492,601,2025-02-26,1898.35,GBP,SEPA
493,602,2025-07-30,47887.99,CAD,ACH
494,603,2025-06-21,9345.71,EUR,Check
495,604,2025-09-09,34188.76,AUD,Wire
496,606,2025-07-31,72428.11,USD,Check
497,607,2025-12-11,63228.62,AUD,
498,608,2025-02-21,15931.20,GBP,ACH
499,609,2025-08-23,48290.66,CAD,Wire
500,611,2025-03-23,64281.03,AUD,Card
501,612,2025-11-07,64383.74,CAD,Card
502,613,2025-11-06,112088.77,JPY,Wire
503,614,2025-03-23,65469.31,GBP,Card
504,615,2025-11-11,33980.35,EUR,Wire
505,617,2025-02-18,50570.08,CAD,Card
506,618,2025-01-25,4421.85,AUD,Card
507,619,2025-02-12,70550.66,EUR,SEPA
508,620,2025-06-02,108465.22,EUR,ACH
509,621,2025-12-17,39029.85,USD,Card
510,622,2025-12-11,70016.22,USD,Wire
511,623,2025-12-09,34661.97,USD,ACH
512,624,2025-12-30,52396.32,CAD,Card
513,626,2025-01-18,43396.29,GBP,SEPA
514,628,2025-05-16,73688.00,GBP,SEPA
515,629,2025-08-15,83097.95,USD,Check
516,630,2025-07-29,35607.53,JPY,
517,631,2025-03-26,205006.76,CAD,Wire
518,632,2025-05-25,18986.31,AUD,SEPA
519,633,2026-01-12,76635.04,EUR,Wire
520,634,2025-03-21,27681.72,EUR,ACH
521,636,2025-08-15,74723.99,AUD,Check
522,639,2025-09-03,31627.85,JPY,ACH
523,641,2025-01-27,51578.91,EUR,Wire
524,642,2025-04-17,29958.02,CAD,Card
525,643,2025-09-23,39080.71,USD,Card
526,644,2025-12-22,40836.65,CAD,ACH
527,645,2025-09-23,172936.60,EUR,SEPA
528,646,2025-07-22,29123.17,USD,Check
529,649,2025-03-03,49191.75,AUD,
530,650,2025-01-27,42846.23,JPY,SEPA
531,651,2025-05-13,13691.76,AUD,Wire
532,652,2025-02-21,0.00,GBP,Wire
533,653,2025-10-15,89615.04,CAD,SEPA
534,654,2025-07-04,43038.87,EUR,ACH
535,655,2026-01-10,35703.96,AUD,Card
536,657,2027-02-07,28401.86,EUR,Wire
537,658,2025-09-04,142668.55,CAD,SEPA
538,659,2025-06-06,27276.78,EUR,Check
539,662,2026-01-21,192218.11,EUR,Card
540,663,2025-02-19,117969.85,GBP,Card
541,664,2025-08-14,2638.42,JPY,Card
542,665,2025-06-23,45997.32,EUR,SEPA
543,666,2025-11-01,1535.13,USD,Card
544,667,2026-01-05,9006.88,GBP,Check
545,670,2025-01-03,4215.74,USD,Card
546,671,2025-05-13,20828.99,JPY,ACH
547,672,2025-12-08,104676.49,AUD,Wire
548,674,2025-08-12,12480.67,USD,Card
549,675,2025-06-29,70712.20,JPY,Check
550,676,2025-04-24,20313.62,CAD,SEPA
551,677,2025-08-29,42285.04,CAD,ACH
552,678,2027-03-15,127690.08,AUD,
553,679,2025-08-07,21657.85,USD,
554,680,2025-03-28,21088.93,CAD,SEPA
555,681,2025-07-07,34702.34,USD,Check
556,682,2025-05-10,13484.92,GBP,ACH
557,683,2025-03-21,39262.67,EUR,Wire
558,684,2025-10-03,95972.56,GBP,Card
559,685,2025-06-13,37603.53,USD,Check
560,686,2025-09-14,87441.96,USD,ACH
561,687,2025-12-29,29518.74,GBP,SEPA
562,688,2025-09-30,50123.78,USD,Check
563,690,2025-03-31,66707.59,USD,Wire
564,691,2025-03-31,13139.27,GBP,Card
565,693,2025-01-17,79757.30,AUD,Card
566,694,2025-02-28,163169.16,CAD,SEPA
567,695,2025-07-26,43008.89,AUD,
568,696,2025-09-27,22395.55,AUD,Wire
569,697,2026-01-20,104119.29,JPY,Check
570,698,2025-11-13,24364.87,EUR,SEPA
571,700,2025-05-10,31276.09,CAD,Wire
572,702,2025-05-15,54771.12,JPY,Card
573,703,2026-01-26,130205.18,JPY,Card
574,704,2025-04-18,52703.53,AUD,Check
575,705,2025-09-17,41743.52,JPY,Card
576,706,2025-02-07,53407.40,CAD,ACH
577,707,2026-01-17,1312.71,EUR,Wire
578,708,2025-04-01,61921.33,CAD,Card
579,709,2025-06-19,3855.51,AUD,Wire
580,710,2025-09-18,61990.67,USD,Wire
581,712,2025-01-28,126460.73,CAD,Check
582,714,2025-07-18,115334.58,EUR,SEPA
583,715,2025-08-17,49780.76,JPY,SEPA
584,716,2027-03-26,96814.32,USD,Card
585,717,2026-01-16,25753.01,USD,SEPA
586,718,2025-09-28,60554.35,JPY,Wire
587,719,2025-10-22,56281.06,EUR,ACH
588,720,2025-11-15,16821.09,AUD,Card
589,721,2025-11-22,0.00,CAD,Card
590,722,2025-11-16,45860.78,EUR,ACH
591,723,2025-10-31,38234.54,JPY,SEPA
592,724,2025-11-07,59398.13,GBP,Check
593,725,2025-09-15,70850.54,GBP,SEPA
594,726,2026-01-21,61062.81,AUD,ACH
