RateDate,FromCurrency,ToCurrency,Rate
2025-01-12,GBP,USD,1.282013
2025-01-12,JPY,USD,0.006525
2025-01-12,CAD,USD,0.756211
2025-01-12,AUD,USD,0.664212
2025-01-13,USD,USD,1.020306
2025-01-13,EUR,USD,1.065636
2025-01-13,GBP,USD,1.237024
2025-01-13,JPY,USD,0.006578
2025-01-13,CAD,USD,0.747405
2025-01-13,AUD,USD,0.673623
2025-01-14,USD,USD,0.997710
2025-01-14,EUR,USD,1.098461
2025-01-14,GBP,USD,1.267268
2025-01-14,JPY,USD,0.006853
2025-01-14,CAD,USD,0.736750
2025-01-14,AUD,USD,0.676187
2025-01-15,USD,USD,0.999451
2025-01-15,EUR,USD,1.086132
2025-01-15,GBP,USD,1.284162
2025-01-15,JPY,USD,0.006559
2025-01-15,CAD,USD,0.755287
2025-01-15,AUD,USD,0.649710
2025-01-16,USD,USD,1.026025
2025-01-16,EUR,USD,1.094943
2025-01-16,JPY,USD,0.006642
2025-01-16,CAD,USD,0.756840
2025-01-16,AUD,USD,0.658926
2025-01-17,USD,USD,0.977843
2025-01-17,EUR,USD,1.064587
2025-01-17,GBP,USD,1.269933
2025-01-17,JPY,USD,0.006895
2025-01-17,CAD,USD,0.759763
2025-01-17,AUD,USD,0.661467
2025-01-18,USD,USD,1.005415
2025-01-18,GBP,USD,1.238015
2025-01-18,JPY,USD,0.006858
2025-01-18,CAD,USD,0.724402
2025-01-18,AUD,USD,0.643726
2025-01-19,USD,USD,0.981349
2025-01-19,EUR,USD,1.061395
2025-01-19,GBP,USD,1.268353
2025-01-19,JPY,USD,0.006657
2025-01-19,CAD,USD,0.749932
2025-01-19,AUD,USD,0.653245
2025-01-20,USD,USD,0.980300
2025-01-20,EUR,USD,1.097856
2025-01-20,GBP,USD,1.270319
2025-01-20,JPY,USD,0.006661
2025-01-20,CAD,USD,0.730693
2025-01-20,AUD,USD,0.662795
2025-01-21,USD,USD,1.004741
2025-01-21,EUR,USD,1.080692
2025-01-21,GBP,USD,1.292343
2025-01-21,JPY,USD,0.006789
2025-01-21,CAD,USD,0.751457
2025-01-21,AUD,USD,0.678431
2025-01-22,USD,USD,0.998951
2025-01-22,EUR,USD,1.067082
2025-01-22,GBP,USD,1.254857
2025-01-22,JPY,USD,0.006640
2025-01-22,CAD,USD,0.720851
2025-01-22,AUD,USD,0.674139
2025-01-23,USD,USD,0.979475
2025-01-23,EUR,USD,1.095103
2025-01-23,GBP,USD,1.297024
2025-01-23,JPY,USD,0.006667
2025-01-23,CAD,USD,0.726656
2025-01-23,AUD,USD,0.675441
2025-01-24,USD,USD,1.018395
2025-01-24,EUR,USD,1.073503
2025-01-24,GBP,USD,1.302213
2025-01-24,JPY,USD,0.006821
2025-01-24,CAD,USD,0.718494
2025-01-24,AUD,USD,0.669847
2025-01-25,USD,USD,0.990928
2025-01-25,GBP,USD,1.296731
2025-01-25,JPY,USD,0.006852
2025-01-25,CAD,USD,0.759450
2025-01-25,AUD,USD,0.646363
2025-01-26,USD,USD,0.984725
2025-01-26,EUR,USD,1.061217
2025-01-26,GBP,USD,1.280223
2025-01-26,JPY,USD,0.006700
2025-01-26,CAD,USD,0.734203
2025-01-26,AUD,USD,0.678916
2025-01-27,USD,USD,1.022727
2025-01-27,EUR,USD,1.101525
2025-01-27,GBP,USD,1.263616
2025-01-27,JPY,USD,0.006886
2025-01-27,CAD,USD,0.728929
2025-01-27,AUD,USD,0.646917
2025-01-28,USD,USD,0.970238
2025-01-28,EUR,USD,1.076425
2025-01-28,GBP,USD,1.261231
2025-01-28,JPY,USD,0.006821
2025-01-28,CAD,USD,0.729308
2025-01-28,AUD,USD,0.642205
2025-01-29,USD,USD,1.025580
2025-01-29,EUR,USD,1.050935
2025-01-29,GBP,USD,1.240157
2025-01-29,JPY,USD,0.006603
2025-01-29,CAD,USD,0.725673
2025-01-29,AUD,USD,0.665271
2025-01-30,EUR,USD,1.086958
2025-01-30,GBP,USD,1.238445
2025-01-30,JPY,USD,0.006607
2025-01-30,CAD,USD,0.737103
2025-01-30,AUD,USD,0.645763
2025-01-31,USD,USD,1.018007
2025-01-31,EUR,USD,1.092742
2025-01-31,GBP,USD,1.265370
2025-01-31,JPY,USD,0.006791
2025-01-31,CAD,USD,0.749053
2025-01-31,AUD,USD,0.663669
2025-02-01,USD,USD,1.021767
2025-02-01,EUR,USD,1.065947
2025-02-01,GBP,USD,1.252500
2025-02-01,JPY,USD,0.006502
2025-02-01,CAD,USD,0.760490
2025-02-01,AUD,USD,0.663059
2025-02-02,USD,USD,1.021283
2025-02-02,EUR,USD,1.106294
2025-02-02,GBP,USD,1.234226
2025-02-02,JPY,USD,0.006560
2025-02-02,CAD,USD,0.731241
2025-02-02,AUD,USD,0.660127
2025-02-03,USD,USD,0.991839
2025-02-03,EUR,USD,1.082752
2025-02-03,GBP,USD,1.277609
2025-02-03,JPY,USD,0.006856
2025-02-03,CAD,USD,0.722319
2025-02-03,AUD,USD,0.667676
2025-02-04,USD,USD,1.028000
2025-02-04,EUR,USD,1.054966
2025-02-04,GBP,USD,1.239396
2025-02-04,JPY,USD,0.006554
2025-02-04,CAD,USD,0.756775
2025-02-04,AUD,USD,0.649539
2025-02-05,EUR,USD,1.055725
2025-02-05,GBP,USD,1.302091
2025-02-05,JPY,USD,0.006691
2025-02-05,AUD,USD,0.645722
2025-02-06,USD,USD,1.015454
2025-02-06,EUR,USD,1.075069
2025-02-06,JPY,USD,0.006810
2025-02-06,CAD,USD,0.746740
2025-02-06,AUD,USD,0.663566
2025-02-07,USD,USD,1.024596
2025-02-07,EUR,USD,1.078041
2025-02-07,GBP,USD,1.298690
2025-02-07,CAD,USD,0.746673
2025-02-08,USD,USD,1.019954
2025-02-08,EUR,USD,1.071600
2025-02-08,GBP,USD,1.293955
2025-02-08,JPY,USD,0.006697
2025-02-08,CAD,USD,0.738311
2025-02-08,AUD,USD,0.647441
2025-02-09,USD,USD,0.996212
2025-02-09,EUR,USD,1.086001
2025-02-09,GBP,USD,1.307954
2025-02-09,JPY,USD,0.006802
2025-02-09,CAD,USD,0.731966
2025-02-09,AUD,USD,0.644295
2025-02-10,USD,USD,1.000677
2025-02-10,EUR,USD,1.060022
2025-02-10,GBP,USD,1.295466
2025-02-10,JPY,USD,0.006508
2025-02-10,CAD,USD,0.719564
2025-02-10,AUD,USD,0.654150
2025-02-11,USD,USD,0.983859
2025-02-11,EUR,USD,1.085107
2025-02-11,GBP,USD,1.264390
2025-02-11,JPY,USD,0.006532
2025-02-11,CAD,USD,0.749196
2025-02-11,AUD,USD,0.672478
2025-02-12,USD,USD,0.000000
2025-02-12,EUR,USD,1.083797
2025-02-12,GBP,USD,1.275055
2025-02-12,JPY,USD,0.006818
2025-02-12,CAD,USD,0.738049
2025-02-12,AUD,USD,0.656618
2025-02-13,USD,USD,1.026062
2025-02-13,EUR,USD,1.070825
2025-02-13,GBP,USD,1.273996
2025-02-13,JPY,USD,0.006568
2025-02-13,CAD,USD,0.732747
2025-02-14,USD,USD,0.989644
2025-02-14,EUR,USD,1.085303
2025-02-14,GBP,USD,1.240262
2025-02-14,JPY,USD,0.006539
2025-02-14,CAD,USD,0.733013
2025-02-14,AUD,USD,0.672145
2025-02-15,USD,USD,0.991329
2025-02-15,GBP,USD,1.236844
2025-02-15,JPY,USD,0.006863
2025-02-15,CAD,USD,0.736440
2025-02-15,AUD,USD,0.671359
2025-02-16,USD,USD,0.972372
2025-02-16,EUR,USD,1.101129
2025-02-16,GBP,USD,1.273428
2025-02-16,JPY,USD,0.006524
2025-02-16,CAD,USD,0.745421
2025-02-16,AUD,USD,0.654191
2025-02-17,USD,USD,1.014503
2025-02-17,EUR,USD,1.056609
2025-02-17,GBP,USD,1.244186
2025-02-17,JPY,USD,0.006669
2025-02-17,CAD,USD,0.754063
2025-02-17,AUD,USD,0.673514
2025-02-18,EUR,USD,1.082271
2025-02-18,GBP,USD,1.236002
2025-02-18,JPY,USD,0.006813
2025-02-18,AUD,USD,0.672436
2025-02-19,USD,USD,0.971123
2025-02-19,EUR,USD,1.109279
2025-02-19,GBP,USD,1.301828
2025-02-19,JPY,USD,0.006621
2025-02-19,AUD,USD,0.660705
2025-02-20,USD,USD,1.008064
2025-02-20,EUR,USD,1.098957
2025-02-20,GBP,USD,1.253354
2025-02-20,CAD,USD,0.747314
2025-02-20,AUD,USD,0.665711
2025-02-21,USD,USD,1.013454
2025-02-21,EUR,USD,1.050412
2025-02-21,GBP,USD,1.293225
2025-02-21,JPY,USD,0.006525
2025-02-21,CAD,USD,0.723215
2025-02-21,AUD,USD,0.669710
2025-02-22,USD,USD,1.013245
2025-02-22,EUR,USD,1.091964
2025-02-22,GBP,USD,1.305059
2025-02-22,JPY,USD,0.006777
2025-02-22,CAD,USD,0.734573
2025-02-22,AUD,USD,0.671909
2025-02-23,USD,USD,1.026457
2025-02-23,EUR,USD,1.106323
2025-02-23,GBP,USD,1.268180
2025-02-23,JPY,USD,0.006525
2025-02-23,CAD,USD,0.721195
2025-02-23,AUD,USD,0.643527
2025-02-24,USD,USD,0.997388
2025-02-24,EUR,USD,1.065597
2025-02-24,GBP,USD,1.259427
2025-02-24,JPY,USD,0.006796
2025-02-24,CAD,USD,0.754609
2025-02-24,AUD,USD,0.673001
2025-02-25,USD,USD,1.003331
2025-02-25,EUR,USD,1.110746
2025-02-25,JPY,USD,0.006751
2025-02-25,CAD,USD,0.739310
2025-02-25,AUD,USD,0.647831
2025-02-26,USD,USD,1.002360
2025-02-26,GBP,USD,1.300520
2025-02-26,JPY,USD,0.006807
2025-02-26,CAD,USD,0.747738
2025-02-26,AUD,USD,0.656459
2025-02-27,EUR,USD,1.110917
2025-02-27,GBP,USD,1.237592
2025-02-27,JPY,USD,0.006763
2025-02-27,CAD,USD,0.733179
2025-02-27,AUD,USD,0.653528
2025-02-28,USD,USD,0.986945
2025-02-28,EUR,USD,1.096773
2025-02-28,GBP,USD,1.283528
2025-02-28,JPY,USD,0.006701
2025-02-28,CAD,USD,0.743899
2025-02-28,AUD,USD,0.675741
2025-03-01,USD,USD,0.976351
2025-03-01,EUR,USD,1.077118
2025-03-01,JPY,USD,0.006803
2025-03-01,CAD,USD,0.720821
2025-03-01,AUD,USD,0.656140
2025-03-02,USD,USD,0.999507
2025-03-02,EUR,USD,1.065711
2025-03-02,GBP,USD,1.284787
2025-03-02,JPY,USD,0.006693
2025-03-02,CAD,USD,0.729940
2025-03-02,AUD,USD,0.651777
2025-03-03,USD,USD,0.973558
2025-03-03,EUR,USD,0.000000
2025-03-03,GBP,USD,1.240851
2025-03-03,JPY,USD,0.006592
2025-03-03,CAD,USD,0.719887
2025-03-04,USD,USD,0.984656
2025-03-04,EUR,USD,1.075020
2025-03-04,GBP,USD,1.298565
2025-03-04,JPY,USD,0.006825
2025-03-04,CAD,USD,0.746175
2025-03-04,AUD,USD,0.649212
2025-03-05,USD,USD,0.996539
2025-03-05,EUR,USD,1.108091
2025-03-05,GBP,USD,1.296021
2025-03-05,JPY,USD,0.006613
2025-03-05,CAD,USD,0.759309
2025-03-05,AUD,USD,0.657070
2025-03-06,USD,USD,0.984848
2025-03-06,EUR,USD,1.092269
2025-03-06,GBP,USD,1.291880
2025-03-06,JPY,USD,0.006531
2025-03-06,CAD,USD,0.728710
2025-03-06,AUD,USD,0.650924
2025-03-07,USD,USD,1.023298
2025-03-07,EUR,USD,1.049436
2025-03-07,GBP,USD,1.284389
2025-03-07,JPY,USD,0.006536
2025-03-07,CAD,USD,0.723282
2025-03-07,AUD,USD,0.665425
2025-03-08,USD,USD,1.024059
2025-03-08,EUR,USD,1.048350
2025-03-08,GBP,USD,1.281401
2025-03-08,JPY,USD,0.006644
2025-03-08,CAD,USD,0.747765
2025-03-08,AUD,USD,0.656984
2025-03-09,USD,USD,1.026774
2025-03-09,EUR,USD,1.060571
2025-03-09,GBP,USD,1.290952
2025-03-09,JPY,USD,0.006543
2025-03-09,CAD,USD,0.745380
2025-03-09,AUD,USD,0.669289
2025-03-10,USD,USD,1.002036
2025-03-10,EUR,USD,1.061186
2025-03-10,GBP,USD,1.256035
2025-03-10,JPY,USD,0.006550
2025-03-10,CAD,USD,0.741503
2025-03-10,AUD,USD,0.672554
2025-03-11,USD,USD,0.980978
2025-03-11,EUR,USD,1.083574
2025-03-11,GBP,USD,1.270852
2025-03-11,JPY,USD,0.006795
2025-03-11,CAD,USD,0.725410
2025-03-11,AUD,USD,0.676872
2025-03-12,USD,USD,0.999824
2025-03-12,EUR,USD,1.092061
2025-03-12,GBP,USD,1.293492
2025-03-12,JPY,USD,0.006830
2025-03-12,CAD,USD,0.730254
2025-03-12,AUD,USD,0.659304
2025-03-13,USD,USD,1.003930
2025-03-13,EUR,USD,1.049798
2025-03-13,JPY,USD,0.006727
2025-03-13,CAD,USD,0.735124
2025-03-13,AUD,USD,0.669572
2025-03-14,USD,USD,1.018140
2025-03-14,EUR,USD,1.098478
2025-03-14,GBP,USD,1.300725
2025-03-14,JPY,USD,0.006652
2025-03-14,CAD,USD,0.718783
2025-03-14,AUD,USD,0.646424
2025-03-15,USD,USD,0.991254
2025-03-15,EUR,USD,1.053599
2025-03-15,GBP,USD,1.307463
2025-03-15,JPY,USD,0.006556
2025-03-15,CAD,USD,0.719180
2025-03-15,AUD,USD,0.645589
2025-03-16,USD,USD,0.976249
2025-03-16,EUR,USD,1.092029
2025-03-16,GBP,USD,1.260226
2025-03-16,JPY,USD,0.006773
2025-03-16,CAD,USD,0.728746
2025-03-16,AUD,USD,0.661234
2025-03-17,USD,USD,0.997596
2025-03-17,EUR,USD,1.107517
2025-03-17,GBP,USD,1.269952
2025-03-17,JPY,USD,0.006791
2025-03-17,CAD,USD,0.744640
2025-03-17,AUD,USD,0.664878
2025-03-18,USD,USD,1.022551
2025-03-18,EUR,USD,1.094622
2025-03-18,GBP,USD,1.283796
2025-03-18,JPY,USD,0.006676
2025-03-18,CAD,USD,0.755540
2025-03-18,AUD,USD,0.641137
2025-03-19,USD,USD,0.993648
2025-03-19,EUR,USD,1.072708
2025-03-19,JPY,USD,0.006767
2025-03-19,CAD,USD,0.758782
2025-03-19,AUD,USD,0.643398
2025-03-20,USD,USD,0.000000
2025-03-20,EUR,USD,1.048024
2025-03-20,GBP,USD,1.241902
2025-03-20,JPY,USD,0.006691
2025-03-20,CAD,USD,0.732830
2025-03-20,AUD,USD,0.677110
2025-03-21,USD,USD,0.996541
2025-03-21,EUR,USD,1.078802
2025-03-21,GBP,USD,1.247917
2025-03-21,JPY,USD,0.006801
2025-03-21,CAD,USD,0.738082
2025-03-21,AUD,USD,0.657642
2025-03-22,USD,USD,1.016184
2025-03-22,EUR,USD,0.000000
2025-03-22,GBP,USD,1.260807
2025-03-22,JPY,USD,0.006526
2025-03-22,CAD,USD,0.728961
2025-03-22,AUD,USD,0.678074
2025-03-23,USD,USD,1.028275
2025-03-23,EUR,USD,1.104273
2025-03-23,GBP,USD,1.268202
2025-03-23,JPY,USD,0.006572
2025-03-23,CAD,USD,0.720708
2025-03-23,AUD,USD,0.672272
2025-03-24,USD,USD,1.007362
2025-03-24,EUR,USD,1.102679
2025-03-24,GBP,USD,1.241820
2025-03-24,JPY,USD,0.006879
2025-03-24,CAD,USD,0.740763
2025-03-24,AUD,USD,0.646532
2025-03-25,USD,USD,1.029861
2025-03-25,EUR,USD,1.092748
2025-03-25,JPY,USD,0.006523
2025-03-25,CAD,USD,0.746891
2025-03-25,AUD,USD,0.677573
2025-03-26,USD,USD,1.015155
2025-03-26,EUR,USD,1.086234
2025-03-26,JPY,USD,0.006593
2025-03-26,CAD,USD,0.745358
2025-03-26,AUD,USD,0.668775
2025-03-27,USD,USD,0.991647
2025-03-27,GBP,USD,1.303219
2025-03-27,CAD,USD,0.744662
2025-03-27,AUD,USD,0.640667
2025-03-28,USD,USD,0.977306
2025-03-28,EUR,USD,1.076352
2025-03-28,GBP,USD,1.281401
2025-03-28,JPY,USD,0.006629
2025-03-28,CAD,USD,0.761796
2025-03-28,AUD,USD,0.644040
2025-03-29,USD,USD,1.019731
2025-03-29,EUR,USD,1.072926
2025-03-29,GBP,USD,1.241649
2025-03-29,JPY,USD,0.006635
2025-03-29,CAD,USD,0.751862
2025-03-29,AUD,USD,0.678519
2025-03-30,USD,USD,1.015926
2025-03-30,EUR,USD,1.109447
2025-03-30,GBP,USD,1.239981
2025-03-30,JPY,USD,0.006577
2025-03-30,CAD,USD,0.755909
2025-03-30,AUD,USD,0.671251
2025-03-31,USD,USD,1.023199
2025-03-31,EUR,USD,1.076217
2025-03-31,GBP,USD,1.298728
2025-03-31,JPY,USD,0.006834
2025-03-31,CAD,USD,0.759843
2025-03-31,AUD,USD,0.664776
2025-04-01,USD,USD,0.993717
2025-04-01,EUR,USD,1.089144
2025-04-01,GBP,USD,1.238884
2025-04-01,JPY,USD,0.006732
2025-04-01,CAD,USD,0.727418
2025-04-01,AUD,USD,0.646540
2025-04-02,USD,USD,0.976571
2025-04-02,EUR,USD,1.091016
2025-04-02,GBP,USD,1.300012
2025-04-02,CAD,USD,0.737354
2025-04-02,AUD,USD,0.663532
2025-04-03,USD,USD,1.000538
2025-04-03,EUR,USD,1.085178
2025-04-03,GBP,USD,1.300691
2025-04-03,JPY,USD,0.006889
2025-04-03,CAD,USD,0.747469
2025-04-03,AUD,USD,0.677932
2025-04-04,USD,USD,0.977069
2025-04-04,EUR,USD,1.111767
2025-04-04,JPY,USD,0.006813
2025-04-04,CAD,USD,0.743379
2025-04-04,AUD,USD,0.649471
2025-04-05,USD,USD,0.000000
2025-04-05,EUR,USD,0.000000
2025-04-05,GBP,USD,1.298371
2025-04-05,JPY,USD,0.006585
2025-04-05,AUD,USD,0.675914
2025-04-06,USD,USD,1.028532
2025-04-06,EUR,USD,1.089994
2025-04-06,GBP,USD,1.264947
2025-04-06,JPY,USD,0.006857
2025-04-06,CAD,USD,0.756239
2025-04-06,AUD,USD,0.641293
2025-04-07,USD,USD,0.972639
2025-04-07,EUR,USD,1.054035
2025-04-07,JPY,USD,0.006519
2025-04-07,CAD,USD,0.750193
2025-04-07,AUD,USD,0.675513
2025-04-08,USD,USD,0.996261
2025-04-08,EUR,USD,1.102524
2025-04-08,GBP,USD,1.285433
2025-04-08,JPY,USD,0.006863
2025-04-08,CAD,USD,0.753320
2025-04-08,AUD,USD,0.650297
2025-04-09,USD,USD,0.995745
2025-04-09,EUR,USD,1.082541
2025-04-09,GBP,USD,1.244880
2025-04-09,JPY,USD,0.006751
2025-04-09,CAD,USD,0.744634
2025-04-09,AUD,USD,0.648407
2025-04-10,USD,USD,0.974929
2025-04-10,EUR,USD,1.061778
2025-04-10,GBP,USD,1.271840
2025-04-10,JPY,USD,0.006548
2025-04-10,CAD,USD,0.738270
2025-04-10,AUD,USD,0.000000
2025-04-11,USD,USD,1.013102
2025-04-11,EUR,USD,1.098181
2025-04-11,GBP,USD,1.268703
2025-04-11,JPY,USD,0.006606
2025-04-11,CAD,USD,0.748690
2025-04-11,AUD,USD,0.656741
2025-04-12,USD,USD,0.975071
2025-04-12,EUR,USD,1.095460
2025-04-12,GBP,USD,1.269356
2025-04-12,JPY,USD,0.006680
2025-04-12,CAD,USD,0.754049
2025-04-12,AUD,USD,0.674309
2025-04-13,USD,USD,1.003728
2025-04-13,EUR,USD,1.095383
2025-04-13,GBP,USD,1.276562
2025-04-13,JPY,USD,0.006871
2025-04-13,CAD,USD,0.730566
2025-04-13,AUD,USD,0.661157
2025-04-14,USD,USD,1.029764
2025-04-14,EUR,USD,1.065477
2025-04-14,GBP,USD,1.284245
2025-04-14,JPY,USD,0.006665
2025-04-14,CAD,USD,0.741608
2025-04-14,AUD,USD,0.661037
2025-04-15,USD,USD,0.973702
2025-04-15,EUR,USD,1.074485
2025-04-15,GBP,USD,1.234752
2025-04-15,JPY,USD,0.006602
2025-04-15,CAD,USD,0.748716
2025-04-15,AUD,USD,0.649667
2025-04-16,USD,USD,0.976510
2025-04-16,GBP,USD,1.258848
2025-04-16,JPY,USD,0.006709
2025-04-16,CAD,USD,0.730656
2025-04-16,AUD,USD,0.653807
2025-04-17,USD,USD,0.997448
2025-04-17,EUR,USD,1.109400
2025-04-17,GBP,USD,1.266424
2025-04-17,JPY,USD,0.006760
2025-04-17,CAD,USD,0.746959
2025-04-17,AUD,USD,0.678028
2025-04-18,USD,USD,1.022606
2025-04-18,EUR,USD,1.102095
2025-04-18,GBP,USD,1.286047
2025-04-18,JPY,USD,0.006600
2025-04-18,CAD,USD,0.724054
2025-04-18,AUD,USD,0.642018
2025-04-19,USD,USD,1.004989
2025-04-19,EUR,USD,1.095226
2025-04-19,GBP,USD,1.303091
2025-04-19,JPY,USD,0.006782
2025-04-19,CAD,USD,0.753396
2025-04-19,AUD,USD,0.645641
2025-04-20,USD,USD,0.977015
2025-04-20,EUR,USD,1.075730
2025-04-20,CAD,USD,0.746881
2025-04-20,AUD,USD,0.672402
2025-04-21,USD,USD,1.017198
2025-04-21,EUR,USD,1.095630
2025-04-21,GBP,USD,1.246216
2025-04-21,JPY,USD,0.006540
2025-04-21,CAD,USD,0.753393
2025-04-21,AUD,USD,0.665303
2025-04-22,USD,USD,0.992961
2025-04-22,EUR,USD,1.094459
2025-04-22,GBP,USD,1.234617
2025-04-22,JPY,USD,0.006586
2025-04-22,CAD,USD,0.761552
2025-04-22,AUD,USD,0.651603
2025-04-23,USD,USD,0.989382
2025-04-23,EUR,USD,1.065518
2025-04-23,GBP,USD,1.255818
2025-04-23,JPY,USD,0.006711
2025-04-23,CAD,USD,0.757492
2025-04-23,AUD,USD,0.661157
2025-04-24,USD,USD,0.000000
2025-04-24,EUR,USD,1.109469
2025-04-24,GBP,USD,1.250702
2025-04-24,JPY,USD,0.006734
2025-04-25,USD,USD,1.025672
2025-04-25,EUR,USD,1.087759
2025-04-25,GBP,USD,1.274363
2025-04-25,JPY,USD,0.006776
2025-04-25,CAD,USD,0.756421
2025-04-25,AUD,USD,0.659585
2025-04-26,USD,USD,0.993870
2025-04-26,EUR,USD,1.078433
2025-04-26,GBP,USD,1.274375
2025-04-26,JPY,USD,0.006538
2025-04-26,CAD,USD,0.722495
2025-04-26,AUD,USD,0.648799
2025-04-27,USD,USD,0.977652
2025-04-27,EUR,USD,1.050905
2025-04-27,GBP,USD,1.236386
2025-04-27,JPY,USD,0.006601
2025-04-27,CAD,USD,0.743081
2025-04-27,AUD,USD,0.674045
2025-04-28,USD,USD,1.023119
2025-04-28,EUR,USD,1.100241
2025-04-28,GBP,USD,1.299304
2025-04-28,JPY,USD,0.006741
2025-04-28,CAD,USD,0.737777
2025-04-28,AUD,USD,0.646062
2025-04-29,USD,USD,1.004042
2025-04-29,EUR,USD,1.090884
2025-04-29,GBP,USD,1.245674
2025-04-29,JPY,USD,0.006877
2025-04-29,CAD,USD,0.754796
2025-04-29,AUD,USD,0.668777
2025-04-30,USD,USD,0.970231
2025-04-30,EUR,USD,1.073123
2025-04-30,GBP,USD,1.254006
2025-04-30,JPY,USD,0.006812
2025-04-30,CAD,USD,0.721925
2025-04-30,AUD,USD,0.679031
2025-05-01,USD,USD,0.997803
2025-05-01,EUR,USD,1.109655
2025-05-01,GBP,USD,1.256218
2025-05-01,JPY,USD,0.006751
2025-05-01,CAD,USD,0.758725
2025-05-01,AUD,USD,0.642433
2025-05-02,USD,USD,0.000000
2025-05-02,EUR,USD,1.085703
2025-05-02,GBP,USD,1.248032
2025-05-02,JPY,USD,0.006793
2025-05-02,CAD,USD,0.759173
2025-05-02,AUD,USD,0.654839
2025-05-03,USD,USD,1.003164
2025-05-03,EUR,USD,1.049402
2025-05-03,GBP,USD,1.280494
2025-05-03,JPY,USD,0.006829
2025-05-03,CAD,USD,0.751576
2025-05-03,AUD,USD,0.651488
2025-05-04,USD,USD,0.987801
2025-05-04,EUR,USD,1.055446
2025-05-04,GBP,USD,1.306032
2025-05-04,JPY,USD,0.006706
2025-05-04,CAD,USD,0.761862
2025-05-04,AUD,USD,0.654415
2025-05-05,USD,USD,1.004795
2025-05-05,EUR,USD,1.050307
2025-05-05,GBP,USD,1.301880
2025-05-05,JPY,USD,0.006798
2025-05-05,CAD,USD,0.735345
2025-05-06,USD,USD,0.979585
2025-05-06,EUR,USD,1.053599
2025-05-06,GBP,USD,1.301837
2025-05-06,JPY,USD,0.006579
2025-05-06,AUD,USD,0.642975
2025-05-07,USD,USD,0.982840
2025-05-07,EUR,USD,1.050596
2025-05-07,GBP,USD,1.243730
2025-05-07,JPY,USD,0.006505
2025-05-07,CAD,USD,0.751420
2025-05-07,AUD,USD,0.647732
2025-05-08,USD,USD,0.992157
2025-05-08,EUR,USD,1.090825
2025-05-08,GBP,USD,1.300310
2025-05-08,JPY,USD,0.006823
2025-05-08,CAD,USD,0.753764
2025-05-08,AUD,USD,0.661812
2025-05-09,USD,USD,1.029923
2025-05-09,EUR,USD,1.077272
2025-05-09,GBP,USD,1.306347
2025-05-09,JPY,USD,0.006659
2025-05-09,CAD,USD,0.731502
2025-05-10,USD,USD,1.028065
2025-05-10,EUR,USD,1.074069
2025-05-10,GBP,USD,1.259026
2025-05-10,JPY,USD,0.006634
2025-05-10,CAD,USD,0.736767
2025-05-10,AUD,USD,0.655129
2025-05-11,USD,USD,0.982643
2025-05-11,EUR,USD,1.076626
2025-05-11,GBP,USD,1.280059
2025-05-11,JPY,USD,0.006665
