CustomerID,CustomerName,Country,Currency,CreditLimit,IsActive,CreatedDate
54,Consolidated Logistics,IE,CAD,50000,1,2024-03-03
55,City Power Logistics,JP,CAD,50000,1,2021-07-16
56,Litware Ltd,CA,CAD,5000,1,2020-11-04
57,Adventure Systems,GB,GBP,100000,0,2022-05-01
58,Northwind Industries,US,CAD,50000,0,2020-01-13
59,Wingtip Manufacturing,AU,AUD,100000,1,2022-09-26
60,,CA,JPY,10000,0,2020-09-18
61,  FOURTH FOODS  ,US,JPY,10000,0,2021-01-07
62,Northwind Manufacturing,CA,JPY,25000,0,2021-05-31
63,City Power Ltd,US,GBP,10000,1,2024-05-18
64,Graphic Traders,FR,CAD,10000,1,2020-09-15
65,litware components,JP,EUR,100000,1,2024-05-11
66,City Power GmbH,US,CAD,50000,0,2024-01-04
67,Adventure Ltd,FR,GBP,100000,1,2024-06-18
68,Fourth Traders,CA,AUD,25000,1,2024-10-05
69,proseware logistics,NL,JPY,10000,1,2023-06-15
70,Blue Yonder Foods,JP,EUR,5000,1,2024-12-10
71,Litware Industries,AU,JPY,25000,1,2022-09-25
72,Adventure Holdings,JP,CAD,10000,1,2021-05-09
73,Alpine Systems,NL,JPY,50000,1,2020-07-09
74,Tailspin Industries,CA,CAD,25000,0,2024-03-07
75,Coho Holdings,JP,USD,10000,1,2020-09-01
76,Alpine Foods,FR,JPY,25000,1,2020-07-24
77,City Power Industries,XX,EUR,25000,1,2020-04-21
78,Coho Manufacturing,NL,USD,100000,1,2022-08-19
79,Litware Logistics,JP,JPY,5000,1,2022-03-31
80,Litware Ltd,DE,CAD,25000,1,2021-05-23
81,Contoso Foods,FR,JPY,50000,0,2021-08-31
82,City Power Metals,US,AUD,5000,1,2023-07-05
83,Adventure Manufacturing,DE,EUR,5000,0,2022-07-11
84,,JP,AUD,50000,1,2023-11-08
85,Adventure Manufacturing,FR,CAD,10000,1,2021-06-28
86,  CITY POWER GMBH  ,JP,JPY,25000,0,2021-07-11
87,Coho Foods,US,AUD,25000,1,2020-02-22
88,Contoso Industries,US,AUD,25000,1,2024-04-11
89,Blue Yonder GmbH,JP,CAD,50000,0,2020-07-05
90,Litware Holdings,GB,GBP,50000,0,2021-08-13
91,Graphic Systems,NL,GBP,25000,1,2024-05-01
92,,IE,USD,10000,1,2023-06-29
93,Blue Yonder Logistics,FR,EUR,25000,0,2024-12-08
94,alpine logistics,FR,GBP,100000,1,2023-02-05
95,Proseware Ltd,GB,USD,10000,0,2024-01-07
96,Tailspin Foods,NL,EUR,50000,1,2022-02-24
97,Adventure Metals,GB,JPY,25000,1,2024-08-07
98,Northwind Manufacturing,NL,JPY,100000,0,2021-12-07
99,Wingtip Foods,CA,AUD,10000,0,2021-04-23
100,city power systems,AU,AUD,10000,0,2020-03-16
101,Fabrikam Foods,GB,JPY,5000,0,2020-02-01
102,Alpine GmbH,DE,GBP,25000,0,2023-08-23
103,Contoso Holdings,AU,AUD,50000,1,2023-06-18
104,Contoso Industries,FR,JPY,5000,1,2022-06-27
105,,CA,GBP,25000,1,2022-06-01
106,Fabrikam Industries,DE,USD,100000,0,2023-06-23
107,Graphic Industries,FR,GBP,50000,1,2023-09-27
108,Northwind Logistics,DE,GBP,100000,1,2023-08-01
109,Proseware Group,FR,JPY,5000,1,2022-02-20
110,Fourth Holdings,,JPY,25000,1,2023-03-05
111,City Power Components,NL,GBP,10000,1,2021-03-24
112,Graphic Industries,DE,AUD,5000,1,2024-06-03
113,Litware Traders,GB,GBP,50000,1,2021-02-15
114,Fabrikam Foods,IE,EUR,25000,0,2024-07-09
115,Tailspin Group,NL,EUR,10000,0,2024-09-28
116,Blue Yonder Foods,US,USD,50000,1,2023-10-09
117,Alpine Components,CA,EUR,50000,1,2023-06-22
118,Consolidated Foods,GB,JPY,25000,0,2020-08-26
119,Fabrikam Traders,NL,EUR,100000,1,2022-03-06
120,Litware Holdings,IE,AUD,10000,0,2023-09-03
23,city power group,US,GBP,5000,1,2021-01-27
36,Wingtip GmbH,NL,JPY,100000,1,2020-08-17
43,Coho Systems,CA,USD,25000,1,2023-04-04
44,  TAILSPIN TRADERS  ,CA,CAD,5000,0,2023-03-26
